Sr. No.,Sent Code ,Accession Bank ID,Genus,Species,ScientifiCName,Source or Donor Name,Local Names,Collection Country,Collection Site,Place of collection
1,C25,2835,Coffea ,arabica ,Coffea arabica L,Palladium project 2022-2024,بن خولانى,Saudi Arabia,aseer,Abha
2,C26,2836,Coffea ,arabica ,Coffea arabica L,Palladium project 2022-2024,بن خولانى,Saudi Arabia,aseer,Abha
3,C27,2837,Coffea ,arabica ,Coffea arabica L,Palladium project 2022-2024,بن خولانى,Saudi Arabia,aseer,Abha
4,C28,2839,Coffea ,arabica ,Coffea arabica L,Palladium project 2022-2024,بن صالبى,Saudi Arabia,aseer,Abha
5,C29,2840,Coffea ,arabica ,Coffea arabica L,Palladium project 2022-2024,بن صالبى,Saudi Arabia,aseer,Abha
6,C30,2842,Coffea ,arabica ,Coffea arabica L,Palladium project 2022-2024,بن عدينى,Saudi Arabia,aseer,Abha
7,C31,2844,Coffea ,arabica ,Coffea arabica L,Palladium project 2022-2024,خولانى ,Saudi Arabia,aseer,Abha
8,C32,2845,Coffea ,arabica ,Coffea arabica L,Palladium project 2022-2024,بن دوائرى,Saudi Arabia,aseer,Abha
9,C33,2846,Coffea ,arabica ,Coffea arabica L,Palladium project 2022-2024, بن دوائرى,Saudi Arabia,aseer,Abha
10,C34,2847,Coffea ,arabica ,Coffea arabica L,Palladium project 2022-2024,بن دوائرى,Saudi Arabia,aseer,Abha
11,C35,2848,Coffea ,arabica ,Coffea arabica L,Palladium project 2022-2024,بن عدينى ,Saudi Arabia,aseer,Abha
12,C36,2849,Coffea ,arabica ,Coffea arabica L,Palladium project 2022-2024,بن عدينى ,Saudi Arabia,aseer,Abha
13,C37,2850,Coffea ,arabica ,Coffea arabica L,Palladium project 2022-2024,بن عدينى ,Saudi Arabia,aseer,Abha
14,C38,2851,Coffea ,arabica ,Coffea arabica L,Palladium project 2022-2024,بن دوائرى ,Saudi Arabia,aseer,Abha
15,C39,2852,Coffea ,arabica ,Coffea arabica L,Palladium project 2022-2024,بن عدينى ,Saudi Arabia,aseer,Muhayil
16,C40,2853,Coffea ,arabica ,Coffea arabica L,Palladium project 2022-2024,بن عدينى ,Saudi Arabia,aseer,Muhayil
17,C41,2854,Coffea ,arabica ,Coffea arabica L,Palladium project 2022-2024,خولانى,Saudi Arabia,aseer,Al Majaridah
18,C42,2855,Coffea ,arabica ,Coffea arabica L,Palladium project 2022-2024,خولانى,Saudi Arabia,aseer,Rejal Alma
19,C43,2856,Coffea ,arabica ,Coffea arabica L,Palladium project 2022-2024,عدينى,Saudi Arabia,aseer,Rejal Alma
20,C44,2857,Coffea ,arabica ,Coffea arabica L,Palladium project 2022-2024,عدينى,Saudi Arabia,aseer,Rejal Alma
21,C45,3142,Coffea ,arabica ,Coffea arabica L,Palladium project 2022-2024,عدينى,Saudi Arabia,aseer,Rejal Alma
22,C46,3143,Coffea ,arabica ,Coffea arabica L,Palladium project 2022-2024,عدينى,Saudi Arabia,aseer,Rejal Alma
23,C47,3144,Coffea ,arabica ,Coffea arabica L,Palladium project 2022-2024,خولانى,Saudi Arabia,aseer,Sarat Abidah
24,C48,3145,Coffea ,arabica ,Coffea arabica L,Palladium project 2022-2024,خولانى,Saudi Arabia,aseer,Abha
25,C49,3146,Coffea ,arabica ,Coffea arabica L,Palladium project 2022-2024,خولانى,Saudi Arabia,aseer,Abha
