accessionId,localName,genus,species,scientificName,source,arabicName,country,province,location
BA 20,Landraces,Hordeum,vulgare,Hordeum vulgare,Market,,Saudi Arabia,Saudi Arabia,Qaseem
BA 21,Landraces,Hordeum,vulgare,Hordeum vulgare,Market,,Saudi Arabia,Saudi Arabia,Qaseem
BA 22,Landraces,Hordeum,vulgare,Hordeum vulgare,Farm,,Saudi Arabia,Saudi Arabia,Qaseem
BA 23,Landraces,Hordeum,vulgare,Hordeum vulgare,Farm,,Saudi Arabia,Saudi Arabia,Qaseem
BA 24,Landraces,Hordeum,vulgare,Hordeum vulgare,Agri. Directorate,,Saudi Arabia,Saudi Arabia,Riyadh
BA 25,Landraces,Hordeum,vulgare,Hordeum vulgare,Farm,,Saudi Arabia,Saudi Arabia,Riyadh
BA 26,Landraces,Hordeum,vulgare,Hordeum vulgare,Al-Shabi Market,,Saudi Arabia,Saudi Arabia,
BA 27,Landraces,Hordeum,vulgare,Hordeum vulgare,Farm- Via Dir. Branch,,Saudi Arabia,Saudi Arabia,
BA 28,Landraces,Hordeum,vulgare,Hordeum vulgare,Market,,Saudi Arabia,Saudi Arabia,Aseer
BA 29,Landraces,Hordeum,vulgare,Hordeum vulgare,Agri. Res. Center. Gizan,,Saudi Arabia,Saudi Arabia,Jazan
BA 30,Landraces,Hordeum,vulgare,Hordeum vulgare,Market,,Saudi Arabia,Saudi Arabia,Hail
BA 31,Landraces,Hordeum,vulgare,Hordeum vulgare,Market,,Saudi Arabia,Saudi Arabia,Hail
BA 32,Landraces,Hordeum,vulgare,Hordeum vulgare,Farm,,Saudi Arabia,Saudi Arabia,Hail
BA 50,Landraces,Hordeum,vulgare,Hordeum vulgare,Farm,,Saudi Arabia,Saudi Arabia,
BA 51,Landraces,Hordeum,vulgare,Hordeum vulgare,"Agri. Directorate, Najran",,Saudi Arabia,Saudi Arabia,Najran
BA 52,Landraces,Hordeum,vulgare,Hordeum vulgare,Farm,,Saudi Arabia,Saudi Arabia,Najran
BA 53,Landraces,Hordeum,vulgare,Hordeum vulgare,Farm,,Saudi Arabia,Saudi Arabia,Najran
BA 54,Landraces,Hordeum,vulgare,Hordeum vulgare,Farm,,Saudi Arabia,Saudi Arabia,Najran
BA 55,Landraces,Hordeum,vulgare,Hordeum vulgare,Farm,,Saudi Arabia,Saudi Arabia,
BA 56,Landraces,Hordeum,vulgare,Hordeum vulgare,Farm,,Saudi Arabia,Saudi Arabia,Aseer
BA 57,Landraces,Hordeum,vulgare,Hordeum vulgare,Farm,,Saudi Arabia,Saudi Arabia,Aseer
BA 58,Landraces,Hordeum,vulgare,Hordeum vulgare,Farm,,Saudi Arabia,Saudi Arabia,
BA 59,Landraces,Hordeum,vulgare,Hordeum vulgare,Farm,,Saudi Arabia,Saudi Arabia,
BA 60,Landraces,Hordeum,vulgare,Hordeum vulgare,Market,,Saudi Arabia,Saudi Arabia,Taif
BA 61,Landraces,Hordeum,vulgare,Hordeum vulgare,Market,,Saudi Arabia,Saudi Arabia,Aseer
BA 62,Landraces,Hordeum,vulgare,Hordeum vulgare,Market,,Saudi Arabia,Saudi Arabia,Najran
BA 63,Landraces,Hordeum,vulgare,Hordeum vulgare,Farm,,Saudi Arabia,Saudi Arabia,
BA 64,Landraces,Hordeum,vulgare,Hordeum vulgare,Farm,,Saudi Arabia,Saudi Arabia,
BA 65,Landraces,Hordeum,vulgare,Hordeum vulgare,Farm,,Saudi Arabia,Saudi Arabia,
BA66,____ 2,Hordeum,vulgare,Hordeum vulgare,Farm,,Saudi Arabia,Saudi Arabia,Al-Baha
BA67,____ 3,Hordeum,vulgare,Hordeum vulgare,Farm,,Saudi Arabia,Saudi Arabia,Al-Baha
BA68,____ 7,Hordeum,vulgare,Hordeum vulgare,Farm,,Saudi Arabia,Saudi Arabia,Taif
BA69,____ 8,Hordeum,vulgare,Hordeum vulgare,Farm,,Saudi Arabia,Saudi Arabia,Taif
BA70,____ 38,Hordeum,vulgare,Hordeum vulgare,Farm,,Saudi Arabia,Saudi Arabia,Aseer
BA71,____ 40,Hordeum,vulgare,Hordeum vulgare,Farm,,Saudi Arabia,Saudi Arabia,Aseer
BA73,____ _____,Hordeum,vulgare,Hordeum vulgare,Farm,,Saudi Arabia,Saudi Arabia,
BA94,____ ____ _____,Hordeum,vulgare,Hordeum vulgare,Market,,Saudi Arabia,Saudi Arabia,Tabuk
