accessionId,localName,genus,species,scientificName,source,arabicName,country,province,location
W129,,Triticum,aestivum,Triticum aestivum L,ICARDA-113081,,Saudi Arabia,NA,Al-Baha
W131,,Triticum,aestivum,Triticum aestivum L,Market,,Saudi Arabia,Mecca,Taif
W222,,Triticum,aestivum,Triticum aestivum L,Farm,,Saudi Arabia,Riyadh,Riyadh
W226,,Triticum,aestivum,Triticum aestivum L,Market,,Saudi Arabia,Mecca,Taif
W227,,Triticum,aestivum,Triticum aestivum L,Market,,Saudi Arabia,Mecca,Aseer
W1,,Triticum,aestivum,Triticum aestivum L,Farm,,Saudi Arabia,Riyadh,Riyadh
W2,,Triticum,aestivum,Triticum aestivum L,Farm,,Saudi Arabia,Riyadh,Riyadh
W3,,Triticum,aestivum,Triticum aestivum L,Farm,,Saudi Arabia,Riyadh,Riyadh
W4,,Triticum,aestivum,Triticum aestivum L,Market,,Saudi Arabia,Al-Baha,
W5,,Triticum,turgidum,Triticum turgidum L,Rashid Al-Hazani,,Saudi Arabia,Riyadh,
W6,,Triticum,aestivum,Triticum aestivum L,Farm,,Saudi Arabia,Northern Province,
W7,,Triticum,aestivum,Triticum aestivum L,Farm,,Saudi Arabia,Al-Qaseem,Qaseem
W8,,Triticum,aestivum,Triticum aestivum L,Market,,Saudi Arabia,Mecca,Qaseem
W9,,Triticum,aestivum,Triticum aestivum L,"Agri. Res. Center, Gizan",,Saudi Arabia,jazan,Jazan
W10,,Triticum,aestivum,Triticum aestivum L,Fram,,Saudi Arabia,Riyadh,
W11,,Triticum,aestivum,Triticum aestivum L,Farm,,Saudi Arabia,Riyadh,Riyadh
W12,,Triticum,aestivum,Triticum aestivum L,Farm Via Dir. Branch,,Saudi Arabia,Aseer,
W13,,Triticum,aestivum,Triticum aestivum L,Market,,Saudi Arabia,Mecca,Najran
W14,,Triticum,aestivum,Triticum aestivum L,"Agri. Directorate, Najran",,Saudi Arabia,Najran,Najran
W15,,Triticum,aestivum,Triticum aestivum L,Farm,,Saudi Arabia,Najran,Najran
W16,,Triticum,aestivum,Triticum aestivum L,Farm,,Saudi Arabia,Al-Khubra,
W17,,Triticum,aestivum,Triticum aestivum L,Market,,Saudi Arabia,Al-Baha,
W18,,Triticum,aestivum,Triticum aestivum L,Market,,Saudi Arabia,Al-Baha,
W19,,Triticum,aestivum,Triticum aestivum L,Market,,Saudi Arabia,Al-Baha,
W20,,Triticum,aestivum,Triticum aestivum L,Farm,,Saudi Arabia,Najran,Najran
W28,,Triticum,aestivum,Triticum aestivum L,Market,,Saudi Arabia,Mecca,Qaseem
W29,,Triticum,aestivum,Triticum aestivum L,Market,,Saudi Arabia,Mecca,Qaseem
W30,,Triticum,aestivum,Triticum aestivum L,Farm,,Saudi Arabia,Tabuk,Tabuk
W32,,Triticum,aestivum,Triticum aestivum L,Market,,Saudi Arabia,Mecca,Taif
W33,,Triticum,aestivum,Triticum aestivum L,Market,,Saudi Arabia,Mecca,Najran
W34,,Triticum,aestivum,Triticum aestivum L,Farm,,Saudi Arabia,Saudi Arabia,
W35,,Triticum,aestivum,Triticum aestivum L,Farm,,Saudi Arabia,Saudi Arabia,
W36,,Triticum,aestivum,Triticum aestivum L,Farm,,Saudi Arabia,Al-Qaseem,Qaseem
