accessionId,localName,genus,species,scientificName,source,arabicName,country,province,location
C25,بن خولانى,Coffea,arabica,Coffea arabica L,Palladium project 2022-2024,بن خولانى,Saudi Arabia,Abha,Aseer
C26,بن خولانى,Coffea,arabica,Coffea arabica L,Palladium project 2022-2024,بن خولانى,Saudi Arabia,Abha,Aseer
C27,بن خولانى,Coffea,arabica,Coffea arabica L,Palladium project 2022-2024,بن خولانى,Saudi Arabia,Abha,Aseer
C28,بن صالبى,Coffea,arabica,Coffea arabica L,Palladium project 2022-2024,بن صالبى,Saudi Arabia,Abha,Aseer
C29,بن صالبى,Coffea,arabica,Coffea arabica L,Palladium project 2022-2024,بن صالبى,Saudi Arabia,Abha,Aseer
C30,بن عدينى,Coffea,arabica,Coffea arabica L,Palladium project 2022-2024,بن عدينى,Saudi Arabia,Abha,Aseer
C31,خولانى,Coffea,arabica,Coffea arabica L,Palladium project 2022-2024,خولانى,Saudi Arabia,Abha,Aseer
C32,بن دوائرى,Coffea,arabica,Coffea arabica L,Palladium project 2022-2024,بن دوائرى,Saudi Arabia,Abha,Aseer
C33,بن دوائرى,Coffea,arabica,Coffea arabica L,Palladium project 2022-2024,بن دوائرى,Saudi Arabia,Abha,Aseer
C34,بن دوائرى,Coffea,arabica,Coffea arabica L,Palladium project 2022-2024,بن دوائرى,Saudi Arabia,Abha,Aseer
C35,بن عدينى,Coffea,arabica,Coffea arabica L,Palladium project 2022-2024,بن عدينى,Saudi Arabia,Abha,Aseer
C36,بن عدينى,Coffea,arabica,Coffea arabica L,Palladium project 2022-2024,بن عدينى,Saudi Arabia,Abha,Aseer
C37,بن عدينى,Coffea,arabica,Coffea arabica L,Palladium project 2022-2024,بن عدينى,Saudi Arabia,Abha,Aseer
C38,بن دوائرى,Coffea,arabica,Coffea arabica L,Palladium project 2022-2024,بن دوائرى,Saudi Arabia,Abha,Aseer
C39,بن عدينى,Coffea,arabica,Coffea arabica L,Palladium project 2022-2024,بن عدينى,Saudi Arabia,Muhayil,Aseer
C40,بن عدينى,Coffea,arabica,Coffea arabica L,Palladium project 2022-2024,بن عدينى,Saudi Arabia,Muhayil,Aseer
C41,خولانى,Coffea,arabica,Coffea arabica L,Palladium project 2022-2024,خولانى,Saudi Arabia,Al Majaridah,Aseer
C42,خولانى,Coffea,arabica,Coffea arabica L,Palladium project 2022-2024,خولانى,Saudi Arabia,Rejal Alma,Aseer
C43,عدينى,Coffea,arabica,Coffea arabica L,Palladium project 2022-2024,عدينى,Saudi Arabia,Rejal Alma,Aseer
C44,عدينى,Coffea,arabica,Coffea arabica L,Palladium project 2022-2024,عدينى,Saudi Arabia,Rejal Alma,Aseer
C45,عدينى,Coffea,arabica,Coffea arabica L,Palladium project 2022-2024,عدينى,Saudi Arabia,Rejal Alma,Aseer
C46,عدينى,Coffea,arabica,Coffea arabica L,Palladium project 2022-2024,عدينى,Saudi Arabia,Rejal Alma,Aseer
C47,خولانى,Coffea,arabica,Coffea arabica L,Palladium project 2022-2024,خولانى,Saudi Arabia,Sarat Abidah,Aseer
C48,خولانى,Coffea,arabica,Coffea arabica L,Palladium project 2022-2024,خولانى,Saudi Arabia,Abha,Aseer
