accessionId,localName,genus,species,scientificName,source,arabicName,country,province,location
F1,hassawy_3,Vicia,Faba,Vicia faba L.,Dr Salem alghamdy,,Saudi-Arabia,Saudi-Arabia,Eastern
F3,L53_D,Vicia,Faba,Vicia faba L.,Dr Salem alghamdy,,Saudi-Arabia,Saudi-Arabia,
F4,hassawy1,Vicia,Faba,Vicia faba L.,Dr Salem alghamdy,,Saudi-Arabia,Saudi-Arabia,Eastern
F5,luz_x_G716,Vicia,Faba,Vicia faba L.,Dr Salem alghamdy,,Saudi-Arabia,Saudi-Arabia,
F6,ksu_9-13,Vicia,Faba,Vicia faba L.,Dr Salem alghamdy,,Saudi-Arabia,Saudi-Arabia,
F7,ksu_11-13,Vicia,Faba,Vicia faba L.,Dr Salem alghamdy,,Saudi-Arabia,Saudi-Arabia,
F8,ksu_8-13,Vicia,Faba,Vicia faba L.,Dr Salem alghamdy,,Saudi-Arabia,Saudi-Arabia,
F9,ksu_16-13,Vicia,Faba,Vicia faba L.,Dr Salem alghamdy,,Saudi-Arabia,Saudi-Arabia,
F10,sakha-1_x_luz,Vicia,Faba,Vicia faba L.,Dr Salem alghamdy,,Saudi-Arabia,Saudi-Arabia,
F11,L56-DP,Vicia,Faba,Vicia faba L.,Dr Salem alghamdy,,Saudi-Arabia,Saudi-Arabia,
F12,TW-3,Vicia,Faba,Vicia faba L.,Dr Salem alghamdy,,Saudi-Arabia,Saudi-Arabia,
F13,TW-4,Vicia,Faba,Vicia faba L.,Dr Salem alghamdy,,Saudi-Arabia,Saudi-Arabia,
