accessionId,localName,genus,species,scientificName,source,arabicName,country,province,location
PM 1,,Pennisetum,typhoideum Rich,Pennisetum typhoideum Rich,Market,,Saudi Arabia,Unaizah,Qaseem
PM 2,,Pennisetum,typhoideum Rich,Pennisetum typhoideum Rich,Market,,Saudi Arabia,Unaizah,Qaseem
PM 3,,Pennisetum,typhoideum Rich,Pennisetum typhoideum Rich,Saad Al-Othaibi,,Saudi Arabia,Al-Dilam,Riyadh
PM 4,,Pennisetum,typhoideum Rich,Pennisetum typhoideum Rich,Farm,,Saudi Arabia,Al-Hareeq,Riyadh
PM 5,,Pennisetum,typhoideum Rich,Pennisetum typhoideum Rich,"Agri. Res. Center, Gizan",,Saudi Arabia,jazan,Jazan
PM 6,,Pennisetum,typhoideum Rich,Pennisetum typhoideum Rich,"Agri. Res. Center, Gizan",,Saudi Arabia,jazan,Jazan
PM 7,,Pennisetum,typhoideum Rich,Pennisetum typhoideum Rich,Al-Khalaf Farm,,Saudi Arabia,Al-Hasaa,Eastern
PM 8,,Pennisetum,typhoideum Rich,Pennisetum typhoideum Rich,Farm,,Saudi Arabia,Al-Nimas Vill: A'll Hussain,Aseer
PM 9,,Pennisetum,typhoideum Rich,Pennisetum typhoideum Rich,Farm,,Saudi Arabia,Al-Ahsa,Eastern
PM 10,,Pennisetum,typhoideum Rich,Pennisetum typhoideum Rich,Farm,,Saudi Arabia,Al-Bakariah,Qaseem
PM 11,,Pennisetum,typhoideum Rich,Pennisetum typhoideum Rich,Farm,,Saudi Arabia,Riyadh,
PM 12,,Pennisetum,typhoideum Rich,Pennisetum typhoideum Rich,Farm,,Saudi Arabia,Riyadh,Riyadh
PM 13,,Pennisetum,typhoideum Rich,Pennisetum typhoideum Rich,Farm,,Saudi Arabia,Baysh,Jazan
PM 14,,Pennisetum,typhoideum Rich,Pennisetum typhoideum Rich,Farm,,Saudi Arabia,Madina Al-Munawara,
PM 15,,Pennisetum,typhoideum Rich,Pennisetum typhoideum Rich,"Agri. Res. Center, Gizan",,Saudi Arabia,Gizan,
PM 16,,Pennisetum,typhoideum Rich,Pennisetum typhoideum Rich,"Agri. Res. Center, Gizan",,Saudi Arabia,Gizan,
PM 17,,Pennisetum,typhoideum Rich,Pennisetum typhoideum Rich,"Agri. Res. Center, Gizan",,Saudi Arabia,Al-Qawara,Qaseem
