accessionId,localName,genus,species,scientificName,source,arabicName,country,province,location
PA 1,,Carica,papaya,.Carica papaya L,____ ______1,,Saudi Arabia,Farm,Jazan
PA 2,,Carica,papaya,.Carica papaya L,____ ______2,,Saudi Arabia,Farm,Jazan
PA 3,,Carica,papaya,.Carica papaya L,____ ______3,,Saudi Arabia,Farm,Jazan
PA 4,,Carica,papaya,.Carica papaya L,____ ______4,,Saudi Arabia,Farm,Jazan
PA 5,,Carica,papaya,.Carica papaya L,____ ______7,,Saudi Arabia,Farm,Jazan
PA 6,,Carica,papaya,.Carica papaya L,____ ______1,,Saudi Arabia,Farm,Jazan
PA 7,,Carica,papaya,.Carica papaya L,____ ______1,,Saudi Arabia,Farm,Jazan
PA 8,,Carica,papaya,.Carica papaya L,____ ______2,,Saudi Arabia,Farm,Jazan
PA 9,,Carica,papaya,.Carica papaya L,____ ______3,,Saudi Arabia,Farm,Jazan
PA 10,,Carica,papaya,.Carica papaya L,____ ______4,,Saudi Arabia,Farm,Jazan
PA 11,,Carica,papaya,.Carica papaya L,____ ______7,,Saudi Arabia,Farm,Jazan
PA 12,,Carica,papaya,.Carica papaya L,____ ______1,,Saudi Arabia,Farm,Jazan
PA 13,,Carica,papaya,.Carica papaya L,____ ______2,,Saudi Arabia,Farm,Jazan
