Sent Code	Accession Bank ID	Genus	Species	Scientific Name	Source or Donor Name	Local Names	Collection Country	Collection Site	Place of collection
W 129	Local Source 2021 -2022 No.644	Triticum	aestivum	Triticum aestivum L	ICARDA-113081	قمح الخبز	Saudi Arabia	Unknow	Al-Baha
W 131	Local Source 2021 -2022 No.876	Triticum	aestivum	Triticum aestivum L	Market	قمح (معياء)	Saudi Arabia	Mecca	 Taif
W 137	ACSAD 2021/2022 NO.1328	Triticum	aestivum	Triticum aestivum L	ACSAD	قمح طري	ACSAD	نسخة 2019/2020	Syria
Y 1	1494	Triticum	aestivum	Triticum aestivum L	Market	قمح الخبز 	NA	NA	NA
W 222	599	Triticum	aestivum	Triticum aestivum L	Farm	قمح صماء	Saudi Arabia	Riyadh	Tumair
W 223	644	Triticum	aestivum	Triticum aestivum L	Farm	قمح الخبز	Mexico	Unknow	CIMMYT Sample
W 224	817	Triticum	aestivum	Triticum aestivum L	ICARDA-113081	قمح الخبز	Morocco	Unknow	Al-Baha
W 225	876	Triticum	aestivum	Triticum aestivum L	Farm	قمح(زراعي نجران)	ICARDA-Morocco	Najran	Najran 
W 226	920	Triticum	aestivum	Triticum aestivum L	Market	قمح(معياء)	Saudi Arabia	Mecca	Taif
W 227	507	Triticum	aestivum	Triticum aestivum L	Market	قمح(حب بر اترالي)	Saudi Arabia	Mecca	Aseer
W 228	1830	Triticum	aestivum	Triticum aestivum L	CIMMYT	قمح الخبز	Mexico	45 IBWSN	Mexico
W 229	1831	Triticum	aestivum	Triticum aestivum L	CIMMYT	قمح الخبز	Mexico	45 IBWSN	Mexico
W 230	1838	Triticum	aestivum	Triticum aestivum L	CIMMYT	قمح الخبز	Mexico	45 IBWSN	Mexico
W 231	1842	Triticum	aestivum	Triticum aestivum L	CIMMYT	قمح الخبز	Mexico	45 IBWSN	Mexico
W 232	1876	Triticum	aestivum	Triticum aestivum L	CIMMYT	قمح الخبز	Mexico	45 IBWSN	Mexico
W 233	1890	Triticum	aestivum	Triticum aestivum L	CIMMYT	قمح الخبز	Mexico	45 IBWSN	Mexico
W 234	1934	Triticum	aestivum	Triticum aestivum L	CIMMYT	قمح الخبز	Mexico	45 IBWSN	Mexico
W 235	1940	Triticum	aestivum	Triticum aestivum L	CIMMYT	قمح الخبز	Mexico	45 IBWSN	Mexico
W 236	1976	Triticum	aestivum	Triticum aestivum L	CIMMYT	قمح الخبز	Mexico	45 IBWSN	Mexico
W 237	1979	Triticum	aestivum	Triticum aestivum L	CIMMYT	قمح الخبز	Mexico	45 IBWSN	Mexico
W 238	1982	Triticum	aestivum	Triticum aestivum L	CIMMYT	قمح الخبز	Mexico	45 IBWSN	Mexico
W 239	1996	Triticum	aestivum	Triticum aestivum L	CIMMYT	قمح الخبز	Mexico	45 IBWSN	Mexico
W 240	2014	Triticum	aestivum	Triticum aestivum L	CIMMYT	قمح الخبز	Mexico	45 IBWSN	Mexico
W 241	2026	Triticum	aestivum	Triticum aestivum L	CIMMYT	قمح الخبز	Mexico	45 IBWSN	Mexico
W 242	2043	Triticum	aestivum	Triticum aestivum L	CIMMYT	قمح الخبز	Mexico	45 IBWSN	Mexico
W 243	2088	Triticum	aestivum	Triticum aestivum L	CIMMYT	قمح الخبز	Mexico	45 IBWSN	Mexico
W 244	2113	Triticum	aestivum	Triticum aestivum L	CIMMYT	قمح الخبز	Mexico	45 IBWSN	Mexico
W 245	2115	Triticum	aestivum	Triticum aestivum L	CIMMYT	قمح الخبز	Mexico	45 IBWSN	Mexico
W 246	2117	Triticum	aestivum	Triticum aestivum L	CIMMYT	قمح الخبز	Mexico	45 IBWSN	Mexico
W 247	2123	Triticum	aestivum	Triticum aestivum L	CIMMYT	قمح الخبز	Mexico	45 IBWSN	Mexico
W 248	2152	Triticum	aestivum	Triticum aestivum L	CIMMYT	قمح الخبز	Mexico	45 IBWSN	Mexico
W 249	2184	Triticum	aestivum	Triticum aestivum L	CIMMYT	قمح الخبز	Mexico	33ESWYT	Mexico
W 250	2191	Triticum	aestivum	Triticum aestivum L	CIMMYT	قمح الخبز	Mexico	33ESWYT	Mexico
W 251	2196	Triticum	aestivum	Triticum aestivum L	CIMMYT	قمح الخبز	Mexico	33ESWYT	Mexico
W1	18	Triticum	aestivum	Triticum aestivum L	Farm	قمح صما	Saudi Arabia	Riyadh - Al-Majm’a	Al-Majm’a
W2	20	Triticum	aestivum	Triticum aestivum L	Farm	قياض	Saudi Arabia	Riyadh - Tumair	Tumair
W3	17	Triticum	aestivum	Triticum aestivum L	Farm	قمح لقيمي	Saudi Arabia	Riyadh - Al-Majm’a	Al-Majm’a
W 4	682	Triticum	aestivum	Triticum aestivum L	Market	قمح الخبز	Saudi Arabia	Al-Baha	Baljarashi
W 5	109	Triticum	turgidum	Triticum turgidum L	Rashid Al-Hazani	قمح لقيمي	Saudi Arabia	Riyadh	Al-Hareeq
W 6	357	Triticum	aestivum	Triticum aestivum L	Farm	قمح الصماء	Saudi Arabia	Northern Province	Al-Dahna
W 7	323	Triticum	aestivum	Triticum aestivum L	Farm	قمح (محيه)	Saudi Arabia	Al-Qaseem	Al-Bakariah
W 8	989	Triticum	aestivum	Triticum aestivum L	Market	قمح لقيمي	Saudi Arabia	Mecca	Buraidah
W 9	181	Triticum	aestivum	Triticum aestivum L	Agri. Res. Center, Gizan	قمح بلدي	Saudi Arabia	jazan	Jazan
W 10	113	Triticum	aestivum	Triticum aestivum L	Fram	قمح حب	Saudi Arabia	Riyadh	Al-Hareeq
W 11	90	Triticum	aestivum	Triticum aestivum L	Farm	بر بلدي	Saudi Arabia	Riyadh	Al-Dilam
W 12	302	Triticum	aestivum	Triticum aestivum L	Farm Via Dir. Branch	قمح بلدي (مابيه)	Saudi Arabia	Aseer	Al-Nimas
W 13	936	Triticum	aestivum	Triticum aestivum L	Market	قمح الخبز	Saudi Arabia	Mecca	Najran
W 14	193	Triticum	aestivum	Triticum aestivum L	Agri. Directorate, Najran	قمح اسمر (نجران)	Saudi Arabia	Najran	Najran
W 15	773	Triticum	aestivum	Triticum aestivum L	Farm	قمح (سمراء)	Saudi Arabia	Najran	Najran
W 16	317	Triticum	aestivum	Triticum aestivum L	Farm	قمح الخبز	Saudi Arabia	Al-Khubra	Al-Khubra
W 17	693	Triticum	aestivum	Triticum aestivum L	Market	قمح حنطة	Saudi Arabia	Al-Baha	Al-Muqwa Bani Malik
W 18	681	Triticum	aestivum	Triticum aestivum L	Market	قمح استرالي	Saudi Arabia	Al-Baha	Baljarashi
