Sr. No.,Sent Code ,Accession Bank ID,Genus,Species,Scientific Name,Source or Donor Name,Local Names,Collection Country,Collection Site,Place of collection,,,,,,,,,,,,,,,
1,BA 1,1440,Hordeum,vulgare,Hordeum vulgare,ACSAD,ACSAD 1772,Syria,Syria,Syria,,,,,,,,,,,,,,,
2,BA2,1441,Hordeum,vulgare,Hordeum vulgare,ACSAD,ACSAD 1791,Syria,Syria,Syria,,,,,,,,,,,,,,,
3,BA3,1442,Hordeum,vulgare,Hordeum vulgare,ACSAD,ACSAD 1111,Syria,Syria,Syria,,,,,,,,,,,,,,,
4,BA 4,1443,Hordeum,vulgare,Hordeum vulgare,ACSAD,ACSAD 1118,Syria,Syria,Syria,,,,,,,,,,,,,,,
5,BA 5,1444,Hordeum,vulgare,Hordeum vulgare,ACSAD,ACSAD 1111,Syria,Syria,Syria,,,,,,,,,,,,,,,
6,BA 6,1445,Hordeum,vulgare,Hordeum vulgare,ACSAD,ACSAD 1123,Syria,Syria,Syria,,,,,,,,,,,,,,,
7,BA 7,1446,Hordeum,vulgare,Hordeum vulgare,ACSAD,ACSAD 1124,Syria,Syria,Syria,,,,,,,,,,,,,,,
8,BA 8,1447,Hordeum,vulgare,Hordeum vulgare,ACSAD,ACSAD 1825,Syria,Syria,Syria,,,,,,,,,,,,,,,
9,BA 9,1448,Hordeum,vulgare,Hordeum vulgare,ACSAD,ACSAD 1827,Syria,Syria,Syria,,,,,,,,,,,,,,,
10,BA 10,1449,Hordeum,vulgare,Hordeum vulgare,ACSAD,ACSAD 1828,Syria,Syria,Syria,,,,,,,,,,,,,,,
11,BA 11,1450,Hordeum,vulgare,Hordeum vulgare,ACSAD,ACSAD 1829,Syria,Syria,Syria,,,,,,,,,,,,,,,
12,BA 12,1451,Hordeum,vulgare,Hordeum vulgare,ACSAD,ACSAD 1830,Syria,Syria,Syria,,,,,,,,,,,,,,,
13,BA 13,1452,Hordeum,vulgare,Hordeum vulgare,ACSAD,ACSAD 1831,Syria,Syria,Syria,,,,,,,,,,,,,,,
14,BA 14,1453,Hordeum,vulgare,Hordeum vulgare,ACSAD,ACSAD 1832,Syria,Syria,Syria,,,,,,,,,,,,,,,
15,BA 15,1454,Hordeum,vulgare,Hordeum vulgare,ACSAD,ACSAD 1836,Syria,Syria,Syria,,,,,,,,,,,,,,,
16,BA 16,1455,Hordeum,vulgare,Hordeum vulgare,ACSAD,ACSAD 1840,Syria,Syria,Syria,,,,,,,,,,,,,,,
17,BA 17,1456,Hordeum,vulgare,Hordeum vulgare,ACSAD,ACSAD 1842,Syria,Syria,Syria,,,,,,,,,,,,,,,
18,BA 18,1457,Hordeum,vulgare,Hordeum vulgare,ACSAD,ACSAD 1843,Syria,Syria,Syria,,,,,,,,,,,,,,,
19,BA 19,1458,Hordeum,vulgare,Hordeum vulgare,ACSAD,ACSAD 1848,Syria,Syria,Syria,,,,,,,,,,,,,,,
20,BA 20,1,Hordeum,vulgare,Hordeum vulgare,Market,Landraces,Saudi Arabia,Saudi Arabia,Buraidah,,,,,,,,,,,,,,,
21,BA 21,2,Hordeum,vulgare,Hordeum vulgare,Market,Landraces,Saudi Arabia,Saudi Arabia,Unaizah,,,,,,,,,,,,,,,
22,BA 22,326,Hordeum,vulgare,Hordeum vulgare,Farm,Landraces,Saudi Arabia,Saudi Arabia,Al-Bakariah,,,,,,,,,,,,,,,
23,BA 23,572,Hordeum,vulgare,Hordeum vulgare,Farm,Landraces,Saudi Arabia,Saudi Arabia,Al-Qawara,,,,,,,,,,,,,,,
24,BA 24,192,Hordeum,vulgare,Hordeum vulgare,Agri. Directorate,Landraces,Saudi Arabia,Saudi Arabia,Al-Kharj,,,,,,,,,,,,,,,
25,BA 25,363,Hordeum,vulgare,Hordeum vulgare,Farm,Landraces,Saudi Arabia,Saudi Arabia,Riyadh,,,,,,,,,,,,,,,
26,BA 26,288,Hordeum,vulgare,Hordeum vulgare,Al-Shabi Market,Landraces,Saudi Arabia,Saudi Arabia,Balsamer,,,,,,,,,,,,,,,
27,BA 27,299,Hordeum,vulgare,Hordeum vulgare,Farm- Via Dir. Branch,Landraces,Saudi Arabia,Saudi Arabia,Al-Nimas,,,,,,,,,,,,,,,
28,BA 28,896,Hordeum,vulgare,Hordeum vulgare,Market,Landraces,Saudi Arabia,Saudi Arabia,Abdullah Mubarak Farm Wadi Dawasir,,,,,,,,,,,,,,,
29,BA 29,177,Hordeum,vulgare,Hordeum vulgare,Agri. Res. Center. Gizan,Landraces,Saudi Arabia,Saudi Arabia,Jazan,,,,,,,,,,,,,,,
30,BA 30,546,Hordeum,vulgare,Hordeum vulgare,Market,Landraces,Saudi Arabia,Saudi Arabia,Hail,,,,,,,,,,,,,,,
31,BA 31,1060,Hordeum,vulgare,Hordeum vulgare,Market,Landraces,Saudi Arabia,Saudi Arabia,Hail,,,,,,,,,,,,,,,
32,BA 32,1292,Hordeum,vulgare,Hordeum vulgare,Farm,Landraces,Saudi Arabia,Saudi Arabia,Hail,,,,,,,,,,,,,,,
33,BA 33,501,Hordeum,vulgare,Hordeum vulgare,ICARDA,ICARDA,Syria,Syria,ICARDA Sample,,,,,,,,,,,,,,,
34,BA 34,618,Hordeum,vulgare,Hordeum vulgare,ICARDA-IG 113058,Line 113058,Syria,Syria,Najran,,,,,,,,,,,,,,,
35,BA 35,619,Hordeum,vulgare,Hordeum vulgare,ICARDA-IG 113060,Line 113060,Syria,Syria,"Abha, Aseer",,,,,,,,,,,,,,,
36,BA 36,620,Hordeum,vulgare,Hordeum vulgare,ICARDA- IG 113063,Line 113063,Syria,Syria,"Abha, Aseer",,,,,,,,,,,,,,,
37,BA 37,621,Hordeum,vulgare,Hordeum vulgare,ICARDA- IG 113073,Line 113073,Syria,Syria,"Abha, Aseer",,,,,,,,,,,,,,,
38,BA 38,622,Hordeum,vulgare,Hordeum vulgare,ICARDA- IG 113074,Line 113074,Syria,Syria,"Baha, Aseer",,,,,,,,,,,,,,,
39,BA 39,623,Hordeum,vulgare,Hordeum vulgare,ICARDA- IG 113076,Line 113076,Syria,Syria,"Baha, Aseer",,,,,,,,,,,,,,,
40,BA 40,624,Hordeum,vulgare,Hordeum vulgare,ICARDA- IG 113077,Line 113077,Syria,Syria,"Baha, Aseer",,,,,,,,,,,,,,,
41,BA 41,625,Hordeum,vulgare,Hordeum vulgare,ICARDA- IG 113080,Line 113080,Syria,Syria,"Baha, Aseer",,,,,,,,,,,,,,,
42,BA 42,627,Hordeum,vulgare,Hordeum vulgare,ICARDA- IG 113083,Line 113083,Syria,Syria,Taif,,,,,,,,,,,,,,,
43,BA 43,628,Hordeum,vulgare,Hordeum vulgare,ICARDA-IG 113084,Line 113084,Syria,Syria,Taif,,,,,,,,,,,,,,,
44,BA 44,629,Hordeum,vulgare,Hordeum vulgare,ICARDA- IG 113085,Line 113085,Syria,Syria,Taif,,,,,,,,,,,,,,,
45,BA 45,630,Hordeum,vulgare,Hordeum vulgare,ICARDA - IG 113086,Line 113086,Syria,Syria,Taif,,,,,,,,,,,,,,,
46,BA 46,631,Hordeum,vulgare,Hordeum vulgare,ICARDA- IG 27892,Line 27892,Syria,Syria,Asir,,,,,,,,,,,,,,,
47,BA 47,632,Hordeum,vulgare,Hordeum vulgare,ICARDA IG 20035,Line 20035,Syria,Syria,Riyadh,,,,,,,,,,,,,,,
48,BA 48,633,Hordeum,vulgare,Hordeum vulgare,ICARDA- IG 20036,Line 20036,Syria,Syria,Riyadh,,,,,,,,,,,,,,,
49,BA 49,634,Hordeum,vulgare,Hordeum vulgare,ICARDA- IG 128086,Line 128086,Syria,Syria,Riyadh,,,,,,,,,,,,,,,
50,BA 50,1302,Hordeum,vulgare,Hordeum vulgare,Farm,Landraces,Saudi Arabia,Saudi Arabia,Farag el Saedy Farm,,,,,,,,,,,,,,,
51,BA 51,194,Hordeum,vulgare,Hordeum vulgare,"Agri. Directorate, Najran",Landraces,Saudi Arabia,Saudi Arabia,Najran,,,,,,,,,,,,,,,
52,BA 52,769,Hordeum,vulgare,Hordeum vulgare,Farm ,Landraces,Saudi Arabia,Saudi Arabia,Najran,,,,,,,,,,,,,,,
53,BA 53,818,Hordeum,vulgare,Hordeum vulgare,Farm,Landraces,Saudi Arabia,Saudi Arabia,Najran Vill: Al-Hadhan,,,,,,,,,,,,,,,
54,BA 54,819,Hordeum,vulgare,Hordeum vulgare,Farm,Landraces,Saudi Arabia,Saudi Arabia,Najran,,,,,,,,,,,,,,,
55,BA 55,551,Hordeum,vulgare,Hordeum vulgare,Farm,Landraces,Saudi Arabia,Saudi Arabia,Taima,,,,,,,,,,,,,,,
56,BA 56,1237,Hordeum,vulgare,Hordeum vulgare,Farm,Landraces,Saudi Arabia,Saudi Arabia,Beni Malak,,,,,,,,,,,,,,,
57,BA 57,1238,Hordeum,vulgare,Hordeum vulgare,Farm,Landraces,Saudi Arabia,Saudi Arabia,Beni Malak,,,,,,,,,,,,,,,
