Acession,Accession Bank ID,Genus,Species,Scientific Name,Source or Donor Name,Collection Country,Collection Site,Place of collection,Unknow,Population,Species_Flag
W347,497,Triticum,turgidum,Triticum turgidum,ICARDA,Unknow,ICARDA Sample,ICARDA,Unknown,ICARDA,T_turgidum
W352,1397,Triticum,turgidum,Triticum turgidum,ACSAD,Syria,Syria,Syria,Syria,ACSAD,T_turgidum
W21,654,Triticum,turgidum,Triticum turgidum,ICARDA-97579,Morocco,Unknow,Aseer,Morocco,ICARDA,T_turgidum
W23,652,Triticum,turgidum,Triticum turgidum,ICARDA-84880,Morocco,Unknow,ICARDA,Morocco,ICARDA,T_turgidum
W24,656,Triticum,turgidum,Triticum turgidum,ICARDA-113071,Morocco,Unknow,Abha,Morocco,ICARDA,T_turgidum
W26,657,Triticum,turgidum,Triticum turgidum,ICARDA-113075,Morocco,Unknow,Al-Baha,Morocco,ICARDA,T_turgidum
W67,569,Triticum,turgidum,Triticum turgidum,Farm,Saudi Arabia,Al-Qaseem,Al-Qawara,Saudi Arabia,Saudi_Arabia,T_turgidum
W68,490,Triticum,turgidum,Triticum turgidum,ICARDA,Morocco,Unknow,ICARDA Sample,Morocco,ICARDA,T_turgidum
W82,587,Triticum,turgidum,Triticum turgidum,CIMMYT,Mexico,Unknow,CIMMYT Sample,Mexico,CIMMYT,T_turgidum
W104,653,Triticum,turgidum,Triticum turgidum,ICARDA-84891,Unknow,Unknow,ICARDA,Unknown,ICARDA,T_turgidum
W105,287,Triticum,turgidum,Triticum turgidum,Al-Shabi Market,Saudi Arabia,Aseer,Balsamer,Saudi Arabia,Saudi_Arabia,T_turgidum
W121,1506,Triticum,turgidum,Triticum turgidum,Farm,Saudi Arabia,Aseer,Tanoumah,Saudi Arabia,Saudi_Arabia,T_turgidum
W123,1504,Triticum,turgidum,Triticum turgidum,Farm,Saudi Arabia,Aseer,Belahmar,Saudi Arabia,Saudi_Arabia,T_turgidum
W282,2726,Triticum,turgidum,Triticum turgidum,ACSAD,Syria,Syria,Syria,Syria,ACSAD,T_turgidum
W283,2727,Triticum,turgidum,Triticum turgidum,ACSAD,Syria,Syria,Syria,Syria,ACSAD,T_turgidum
W284,2728,Triticum,turgidum,Triticum turgidum,ACSAD,Syria,Syria,Syria,Syria,ACSAD,T_turgidum
W285,2729,Triticum,turgidum,Triticum turgidum,ACSAD,Syria,Syria,Syria,Syria,ACSAD,T_turgidum
W286,2730,Triticum,turgidum,Triticum turgidum,ACSAD,Syria,Syria,Syria,Syria,ACSAD,T_turgidum
W287,2731,Triticum,turgidum,Triticum turgidum,ACSAD,Syria,Syria,Syria,Syria,ACSAD,T_turgidum
W288,2732,Triticum,turgidum,Triticum turgidum,ACSAD,Syria,Syria,Syria,Syria,ACSAD,T_turgidum
W289,2733,Triticum,turgidum,Triticum turgidum,ACSAD,Syria,Syria,Syria,Syria,ACSAD,T_turgidum
W290,2734,Triticum,turgidum,Triticum turgidum,ACSAD,Syria,Syria,Syria,Syria,ACSAD,T_turgidum
W291,2735,Triticum,turgidum,Triticum turgidum,ACSAD,Syria,Syria,Syria,Syria,ACSAD,T_turgidum
W292,2736,Triticum,turgidum,Triticum turgidum,ACSAD,Syria,Syria,Syria,Syria,ACSAD,T_turgidum
W293,2737,Triticum,turgidum,Triticum turgidum,ACSAD,Syria,Syria,Syria,Syria,ACSAD,T_turgidum
W294,2738,Triticum,turgidum,Triticum turgidum,ACSAD,Syria,Syria,Syria,Syria,ACSAD,T_turgidum
W295,2739,Triticum,turgidum,Triticum turgidum,ACSAD,Syria,Syria,Syria,Syria,ACSAD,T_turgidum
W296,2740,Triticum,turgidum,Triticum turgidum,ACSAD,Syria,Syria,Syria,Syria,ACSAD,T_turgidum
W297,2741,Triticum,turgidum,Triticum turgidum,ACSAD,Syria,Syria,Syria,Syria,ACSAD,T_turgidum
W298,2742,Triticum,turgidum,Triticum turgidum,ACSAD,Syria,Syria,Syria,Syria,ACSAD,T_turgidum
W299,2743,Triticum,turgidum,Triticum turgidum,ACSAD,Syria,Syria,Syria,Syria,ACSAD,T_turgidum
W300,2744,Triticum,turgidum,Triticum turgidum,ACSAD,Syria,Syria,Syria,Syria,ACSAD,T_turgidum
W302,2764,Triticum,turgidum,Triticum turgidum,ACSAD,Syria,Syria,Syria,Syria,ACSAD,T_turgidum
W303,2765,Triticum,turgidum,Triticum turgidum,ACSAD,Syria,Syria,Syria,Syria,ACSAD,T_turgidum
W304,2766,Triticum,turgidum,Triticum turgidum,ACSAD,Syria,Syria,Syria,Syria,ACSAD,T_turgidum
W305,2767,Triticum,turgidum,Triticum turgidum,ACSAD,Syria,Syria,Syria,Syria,ACSAD,T_turgidum
W306,2768,Triticum,turgidum,Triticum turgidum,ACSAD,Syria,Syria,Syria,Syria,ACSAD,T_turgidum
W307,2769,Triticum,turgidum,Triticum turgidum,ACSAD,Syria,Syria,Syria,Syria,ACSAD,T_turgidum
W308,2770,Triticum,turgidum,Triticum turgidum,ACSAD,Syria,Syria,Syria,Syria,ACSAD,T_turgidum
W309,2771,Triticum,turgidum,Triticum turgidum,ACSAD,Syria,Syria,Syria,Syria,ACSAD,T_turgidum
W310,2772,Triticum,turgidum,Triticum turgidum,ACSAD,Syria,Syria,Syria,Syria,ACSAD,T_turgidum
W311,2773,Triticum,turgidum,Triticum turgidum,ACSAD,Syria,Syria,Syria,Syria,ACSAD,T_turgidum
W312,2774,Triticum,turgidum,Triticum turgidum,ACSAD,Syria,Syria,Syria,Syria,ACSAD,T_turgidum
W313,2775,Triticum,turgidum,Triticum turgidum,ACSAD,Syria,Syria,Syria,Syria,ACSAD,T_turgidum
W314,2776,Triticum,turgidum,Triticum turgidum,ACSAD,Syria,Syria,Syria,Syria,ACSAD,T_turgidum
W315,2777,Triticum,turgidum,Triticum turgidum,ACSAD,Syria,Syria,Syria,Syria,ACSAD,T_turgidum
W316,2778,Triticum,turgidum,Triticum turgidum,ACSAD,Syria,Syria,Syria,Syria,ACSAD,T_turgidum
W317,2779,Triticum,turgidum,Triticum turgidum,ACSAD,Syria,Syria,Syria,Syria,ACSAD,T_turgidum
W318,2780,Triticum,turgidum,Triticum turgidum,ACSAD,Syria,Syria,Syria,Syria,ACSAD,T_turgidum
W319,2781,Triticum,turgidum,Triticum turgidum,ACSAD,Syria,Syria,Syria,Syria,ACSAD,T_turgidum
W320,2782,Triticum,turgidum,Triticum turgidum,ACSAD,Syria,Syria,Syria,Syria,ACSAD,T_turgidum
W321,497,Triticum,turgidum,Triticum turgidum,ICARDA,Morocco,ICARDA,ICARDA,Morocco,ICARDA,T_turgidum
W339,881,Triticum,turgidum,Triticum turgidum,Market,Saudi Arabia,Mecca,Taif,Saudi Arabia,Saudi_Arabia,T_turgidum
W340,1383,Triticum,turgidum,Triticum turgidum,ACSAD,Syria,نسخة 2019/2020,Syria,Syria,ACSAD,T_turgidum
W341,1386,Triticum,turgidum,Triticum turgidum,ACSAD,Syria,نسخة 2019/2021,Syria,Syria,ACSAD,T_turgidum
W342,1393,Triticum,turgidum,Triticum turgidum,ACSAD,Syria,نسخة 2019/2022,Syria,Syria,ACSAD,T_turgidum
W343,1397,Triticum,turgidum,Triticum turgidum,ACSAD,Syria,نسخة 2019/2023,Syria,Syria,ACSAD,T_turgidum
W344,1398,Triticum,turgidum,Triticum turgidum,ACSAD,Syria,نسخة 2019/2024,Syria,Syria,ACSAD,T_turgidum
W345,1401,Triticum,turgidum,Triticum turgidum,ACSAD,Syria,نسخة 2019/2025,Syria,Syria,ACSAD,T_turgidum
W346,14,Triticum,turgidum,Triticum turgidum,Farm,Saudi Arabia,Riyadh,Tumair,Saudi Arabia,Saudi_Arabia,T_turgidum
W348,881,Triticum,turgidum,Triticum turgidum,Market,Saudi Arabia,Mecca,Taif,Saudi Arabia,Saudi_Arabia,T_turgidum
W349,1383,Triticum,turgidum,Triticum turgidum,ACSAD,Syria,Syria,Syria,Syria,ACSAD,T_turgidum
W350,1386,Triticum,turgidum,Triticum turgidum,ACSAD,Syria,Syria,Syria,Syria,ACSAD,T_turgidum
W351,1393,Triticum,turgidum,Triticum turgidum,ACSAD,Syria,Syria,Syria,Syria,ACSAD,T_turgidum
W353,1998,Triticum,turgidum,Triticum turgidum,CIMMYT,Mexico,Mexico,Mexico,Mexico,CIMMYT,T_turgidum
W354,1401,Triticum,turgidum,Triticum turgidum,ACSAD,Syria,Syria,Syria,Syria,ACSAD,T_turgidum
W355,1630,Triticum,turgidum,Triticum turgidum,CIMMYT,Mexico,Mexico,Mexico,Mexico,CIMMYT,T_turgidum
